layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.5347493489583334,0.004946814643012156,0.021624247233072918,0.05914306640625,0.09779188368055555,0.10956488715277778,0.1080322265625,0.0838623046875,0.0669284396701389,0.08787706163194445,0.007203843858506944,0.1475830078125,0.028103298611111112,0.0277099609375,0.06541612413194445,0.020826551649305556,0.002175754970974389,0.0030644734700520835,0.003907733493381072,0.009279039171006944,0.047322591145833336,0.006249321831597222,0.017367892795138888,0.1472710503472222,0.07648383246527778,0.15123155381944445,0.08787706163194445,0.14439561631944445,0.005423651801215278,-0.0017377535502115778,0.00436666276719835,-9.32353456543448e-06
1,0.044301350911458336,0.004716025458441828,-0.003822326660156245,0.022632175021701388,0.0012681749131944445,0.015240987141927084,0.016264597574869782,-0.003755251566569006,0.05450100368923611,-0.0060140821668836835,0.2432318793402778,0.030829535590277776,-0.004826863606770833,0.0016093783908420053,-0.00013785892062718335,0.005640374289618593,0.006503846910264761,0.03258429633246527,0.0024935404459635385,0.022759331597222224,2.7300582991707555e-05,0.032714327176411956,0.006334092881944444,0.3800726996527778,0.011155022515190972,0.007013108995225694,0.007538265652126733,0.005999777052137583,-0.02484851413302951,-0.010678609212239584,0.006307813856336806,0.019683837890625
2,0.00025304158528645555,-0.006039089626736111,0.0015553368462456554,-0.010462443033854166,0.0036192999945746495,0.009255727132161455,-0.021343655056423612,0.04269578721788194,0.00016890631781683334,0.005431122250027139,0.0008896721733940945,0.013286802503797745,0.50555419921875,-0.1072141859266493,-0.12017144097222222,-0.056037055121527776,0.0019219716389973947,0.0007094277275933168,0.0016230344772338913,-0.0516357421875,0.4752604166666667,0.0006091702315542089,0.02793333265516493,0.003389146592881939,0.026509602864583332,0.02576573689778645,0.8088107638888888,0.2128024631076389,0.007298376825120713,-0.0102034674750434,0.003916713926527234,0.015324274698893223
3,-0.06696234809027778,-0.03125720553927951,-8.365843031142225e-05,-0.00023534562852647222,0.0016172197129991277,0.0007451905144585444,0.015936957465277776,-0.008481767442491316,0.044062296549479164,0.011170705159505205,0.01292562484741211,0.004609054989284944,-0.03908877902560764,-0.010777791341145834,-0.0011882781982421888,0.0005230373806423611,0.006602605183919272,0.0007364749908447255,-0.0008279681205749317,0.004668553670247401,-0.012741936577690972,-0.002097235785590278,-0.03654649522569445,-0.0012919108072916667,-0.000622378455268011,-0.020573933919270832,0.013609568277994795,-0.03706529405381945,0.010755644904242617,0.0736660427517361,0.020677354600694444,-0.003938462999131944
4,-0.019015842013888888,-0.0076399909125433995,-0.016425238715277776,8.938047620984993e-05,-0.009229024251302084,-0.028984917534722224,-0.008387247721354166,0.013044569227430556,-0.007805718315972222,0.002239651150173611,-0.003998014662000873,0.004733191596137156,-0.001404152976142033,0.008473714192708334,0.005254957411024306,-0.04330783420138889,1.1606987847222223,0.00932884216308594,0.0026948716905381945,0.1902804904513889,-0.0112762451171875,-0.021369086371527776,0.021713892618815105,-0.00632476806640625,0.021848042805989582,0.0301055908203125,0.03620741102430555,0.026460859510633684,-0.0182342529296875,-0.01859219868977864,-0.0030349095662434776,-0.015155792236328122
5,-0.011524094475640194,-0.14432493845621744,0.002575344509548611,0.019328647189670138,2.1188151041666665,0.298583984375,-0.3332349989149306,-0.054267035590277776,0.2576904296875,0.7863498263888888,0.07478162977430555,2.3823784722222223,-0.006191677517361111,0.0064353942871093715,0.0016742017534044054,0.004533290863037106,0.03575833638509115,0.004859076605902778,-0.024980333116319444,0.001451810201009117,-0.001008351643880211,0.008029513888888888,-0.23652479383680555,-0.0032374064127604165,-0.0058891508314344665,0.01224644978841146,0.044594658745659724,0.003154754638671872,0.08979119194878472,0.006289164225260417,0.04064517550998264,0.0182236565483941
6,0.016684214274088546,0.005765279134114583,-0.018368191189236112,-0.0147857666015625,-0.003810140821668839,0.027765909830729168,0.017367892795138888,-0.05709499782986111,0.0028364393446180442,0.2899848090277778,0.005362616644965278,0.008340093824598528,0.025790744357638888,0.15867445203993055,0.11919148763020833,0.08891126844618055,0.028644137912326388,0.1867404513888889,0.021394411722818998,0.04543410407172309,-0.04064814249674479,0.0450803968641493,0.4849175347222222,-0.00774913363986545,0.00976435343424479,-0.047545539008246526,-0.021236843532986112,-0.028148227267795138,-0.2230156792534722,0.4562174479166667,0.0011494954427083333,0.03722201453314886
7,-0.0057224697536892395,0.006016201443142361,0.05749797821044922,-0.05885484483506945,-0.014443715413411455,0.0010730955335829,0.04497951931423611,0.019208908081054688,0.008385552300347222,0.061482747395833336,-0.010739114549424916,-0.06547631157769097,-0.0002780490451388889,0.00016530354817708334,-0.029771592881944444,-0.03443739149305555,0.0016089545355902778,0.01050567626953125,0.036064995659722224,0.0025804307725694445,0.03796344333224826,-0.06330702039930555,-0.013070000542534722,0.9358181423611112,0.3032497829861111,-0.4553493923611111,0.06800333658854167,-0.09423149956597222,-0.008365207248263888,0.1406589084201389,0.051920572916666664,0.019558376736111112
8,1.2248399522569444,0.9571397569444444,-0.038167317708333336,-0.17439651489257812,-0.003014458550347222,0.010892232259114584,-0.040456136067708336,-0.053090413411458336,1.2643229166666667,0.2074347601996528,-0.08878241644965278,3.138888888888889,0.2213465372721354,0.032593621148003474,-0.06681315104166667,0.024180094401041668,0.0307159423828125,-0.014864603678385416,-0.023578219943576388,0.0992431640625,0.0553071763780382,0.003174675835503472,0.028073628743489582,0.034639994303385414,0.10455322265625,0.3087836371527778,0.208984375,0.11420355902777778,-0.01696056789822049,0.3037380642361111,0.18809678819444445,1.0265028211805556
9,0.0808376736111111,0.09570990668402778,0.3218044704861111,0.05418565538194445,-0.0036036173502604165,0.004954020182291667,-0.007440990871853289,-0.001138899061414928,0.047685729132758245,0.021637545691596136,0.05259874131944445,0.006969239976671006,-0.0012808905707465278,0.3484157986111111,0.032076517740885414,-0.013858371310763888,0.0247650146484375,0.06734212239583333,0.040311177571614586,0.0324342515733507,0.09944322374131945,-0.07326592339409722,0.05077785915798611,0.11881510416666667,-0.006629096137152778,-0.11398824055989583,-0.010438707139756944,4.017578125,0.2482367621527778,0.058376312255859375,-0.11654747856987847,4.203125
