layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
8,11,-2.9217376365397763,14.0,-1.1170282357545829,13.0,27.0
10,28,-0.6198236971138311,5.0,-0.13093608504868787,20.0,25.0
5,6,-0.6033584089973608,20.0,-0.03325492143630975,2.0,22.0
16,23,-0.2423098664256839,6.0,-0.5667563021277398,15.0,21.0
9,13,-0.22216826038680124,4.0,-0.08821572474468639,17.0,21.0
13,5,-0.24725514507126284,8.0,-0.0605880682724323,12.0,20.0
9,27,-2.9329134979298837,15.0,-0.5886332602620677,3.0,18.0
13,20,-0.5518447649547348,13.0,-0.12436530486758353,3.0,16.0
10,3,0.0,0.0,-0.07040325325358662,16.0,16.0
10,2,0.0,0.0,-0.9971562416554411,15.0,15.0
14,19,-1.7456736806398327,3.0,-0.6441581400296047,12.0,15.0
13,19,-0.4652953925198379,5.0,-0.0658382919551211,10.0,15.0
11,8,-0.636112701866035,11.0,0.0,0.0,11.0
15,28,-0.4552013437168993,10.0,-0.0940430959065755,1.0,11.0
7,25,-0.38308219788566467,4.0,-0.14374752486525105,7.0,11.0
12,6,-0.5040833362131848,6.0,-0.17512763698360295,4.0,10.0
21,22,-0.3188052665519728,6.0,-0.07849421269500097,3.0,9.0
5,4,-1.9191834031490873,9.0,0.0,0.0,9.0
5,10,0.0,0.0,-0.9130426849910938,8.0,8.0
13,18,-2.854321792861923,7.0,-0.59383544921875,1.0,8.0
15,30,-1.8672633519513928,4.0,-0.20222661647378273,4.0,8.0
16,20,0.0,0.0,-0.4067133904329213,8.0,8.0
11,6,-0.0374880014739421,1.0,-0.04184797206964646,7.0,8.0
5,11,-2.1976661035571188,7.0,0.0,0.0,7.0
24,7,-0.0704529314156038,1.0,-0.13293561945843088,5.0,6.0
11,13,-0.38006885478170455,6.0,0.0,0.0,6.0
10,1,-3.0683847153812116,6.0,0.0,0.0,6.0
9,31,-3.4881723938448577,6.0,0.0,0.0,6.0
20,23,-0.3206263950892857,1.0,-0.0805064388968721,4.0,5.0
6,29,-0.1034690975963739,5.0,0.0,0.0,5.0
5,8,0.0,0.0,-0.5931750389928864,5.0,5.0
8,8,0.0,0.0,-0.2588003747699203,5.0,5.0
13,4,0.0,0.0,-0.02209555877241248,5.0,5.0
0,0,-0.3562041532336131,4.0,0.0,0.0,4.0
23,10,-0.3072321271951014,4.0,0.0,0.0,4.0
8,31,-0.435921615695361,2.0,-0.024972910731362652,2.0,4.0
14,4,-0.36096985236404733,4.0,0.0,0.0,4.0
19,12,-0.18263841337189413,3.0,-0.0294403168092291,1.0,4.0
5,22,-0.12123205305315266,4.0,0.0,0.0,4.0
11,12,-1.865593487774884,3.0,0.0,0.0,3.0
29,21,0.0,0.0,-0.10876672830290664,3.0,3.0
10,18,-3.322247540509259,1.0,-0.1142641150433084,1.0,2.0
3,27,-0.0843440468178503,2.0,0.0,0.0,2.0
11,20,0.0,0.0,-0.040775551337295754,2.0,2.0
8,0,-0.1726238833272398,2.0,0.0,0.0,2.0
26,6,0.0,0.0,-0.03793292142012535,2.0,2.0
15,1,0.0,0.0,-0.06052097897612585,2.0,2.0
4,16,0.0,0.0,-0.0171776141150523,1.0,1.0
6,22,0.0,0.0,-0.0583159502814797,1.0,1.0
7,3,-0.0345248518318965,1.0,0.0,0.0,1.0
5,21,-0.0863365760216346,1.0,0.0,0.0,1.0
10,14,-0.1641148158482142,1.0,0.0,0.0,1.0
9,12,-0.0086018823187447,1.0,0.0,0.0,1.0
9,21,-0.0463850498199462,1.0,0.0,0.0,1.0
8,14,-0.0567169189453125,1.0,0.0,0.0,1.0
13,15,-0.098358154296875,1.0,0.0,0.0,1.0
13,3,0.0,0.0,-0.0298681744074417,1.0,1.0
13,12,-0.0944960744757401,1.0,0.0,0.0,1.0
14,28,0.0,0.0,-0.0188449677966889,1.0,1.0
15,4,-0.049375295639038,1.0,0.0,0.0,1.0
15,3,-0.0823252751277043,1.0,0.0,0.0,1.0
14,29,0.0,0.0,-0.014340355282738,1.0,1.0
16,8,0.0,0.0,-0.0219928130627963,1.0,1.0
19,0,0.0,0.0,-0.0471345053778754,1.0,1.0
21,21,-0.1268215406508673,1.0,0.0,0.0,1.0
27,7,-0.1674281529017857,1.0,0.0,0.0,1.0
29,9,-0.0341790092402491,1.0,0.0,0.0,1.0
