case,layer,head,without_cot,cot,change
top_10_absolute,8,11,-2.7130661231884057,-3.092722346786248,-0.37965622359784224
top_10_absolute,9,27,-2.337620301177536,-2.7494779623855568,-0.4118576612080207
top_10_absolute,5,11,-2.1542883831521737,-2.120597212125724,0.033691171026449585
top_10_absolute,5,4,-2.0459833559782608,-1.5799552335867433,0.4660281223915175
top_10_absolute,14,19,-1.7232761548913043,-1.711288680231981,0.01198747465932315
top_10_absolute,11,12,-1.6210492562556613,-1.5436240169143107,0.0774252393413506
top_10_absolute,15,30,-1.6029262819151948,-1.5972671850914377,0.005659096823757093
top_10_absolute,13,18,-1.499927775065104,-1.4051032643681685,0.09482451069693565
top_10_absolute,4,16,-1.4276692708333334,-1.2162174059492947,0.21145186488403866
top_10_absolute,10,1,-1.1969483748726222,-1.3721931354881938,-0.1752447606155716
top_5_stereotypical,5,6,0.9658919403518456,0.8200106998551944,-0.1458812404966512
top_5_stereotypical,11,8,0.8041645215905231,0.7341448180878644,-0.07001970350265874
top_5_stereotypical,11,13,0.366633495386096,0.2987625623854108,-0.0678709330006852
top_5_stereotypical,13,5,0.35334279709968014,0.38394401675738915,0.03060121965770901
top_5_stereotypical,13,19,0.3521284462749094,0.2987918825249323,-0.05333656374997714
top_5_anti_stereotypical,8,11,-2.7130661231884057,-3.092722346786248,-0.37965622359784224
top_5_anti_stereotypical,9,27,-2.337620301177536,-2.7494779623855568,-0.4118576612080207
top_5_anti_stereotypical,5,11,-2.1542883831521737,-2.120597212125724,0.033691171026449585
top_5_anti_stereotypical,5,4,-2.0459833559782608,-1.5799552335867433,0.4660281223915175
top_5_anti_stereotypical,14,19,-1.7232761548913043,-1.711288680231981,0.01198747465932315
