case,layer,head,without_cot,cot,change
top_10_absolute,8,11,2.7233417479108635,3.130206512099384,0.4068647641885206
top_10_absolute,9,27,2.3269000465159295,2.7488064449870966,0.42190639847116707
top_10_absolute,5,11,2.147069224408078,2.1254983951447675,-0.021570829263310554
top_10_absolute,5,4,2.0807935454387185,1.615037929084184,-0.46575561635453444
top_10_absolute,14,19,1.7220251566852367,1.7121210572355419,-0.009904099449694836
top_10_absolute,15,30,1.6229926404182626,1.6404055944437252,0.017412954025462613
top_10_absolute,13,18,1.5306044554643976,1.4089540377130425,-0.1216504177513551
top_10_absolute,11,12,1.511038182505658,1.4527955014011702,-0.058242681104487826
top_10_absolute,4,16,1.4171515759651376,1.2210128300471677,-0.19613874591796998
top_10_absolute,10,1,1.3139356331572891,1.548261164244726,0.2343255310874368
top_5_stereotypical,8,11,2.7233417479108635,3.130206512099384,0.4068647641885206
top_5_stereotypical,9,27,2.3269000465159295,2.7488064449870966,0.42190639847116707
top_5_stereotypical,5,11,2.147069224408078,2.1254983951447675,-0.021570829263310554
top_5_stereotypical,5,4,2.0807935454387185,1.615037929084184,-0.46575561635453444
top_5_stereotypical,14,19,1.7220251566852367,1.7121210572355419,-0.009904099449694836
top_5_anti_stereotypical,5,6,-0.9695013519117095,-0.812873598478026,0.15662775343368351
top_5_anti_stereotypical,11,8,-0.8083383884270543,-0.7589363515892359,0.04940203683781841
top_5_anti_stereotypical,11,13,-0.331090220501828,-0.26357651856172326,0.06751370194010475
top_5_anti_stereotypical,13,19,-0.31043022389531466,-0.2681455584699208,0.042284665425393886
top_5_anti_stereotypical,8,14,-0.3012590594278405,-0.18167092545918842,0.11958813396865206
